2025-11-13 16:55:43,501 - INFO - Capture worker thread started.
2025-11-13 16:55:43,502 - INFO - Performing initial read of aircraft data...
2025-11-13 16:55:43,502 - INFO - Initializing hardware controller...
2025-11-13 16:55:43,502 - INFO - Hardware controller initialized.
2025-11-13 16:55:44,637 - INFO - Monitoring '/home/dump/Desktop/project/gemini/data' for ADS-B data...
2025-11-13 16:55:44,637 - INFO - Monitoring '/home/dump/Desktop/project/gemini/logs' for command file 'command.json'...
2025-11-13 16:58:29,820 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''>
2025-11-13 16:58:29,821 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs', wd=1, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name=''>
2025-11-13 16:58:29,821 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/data', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''>
2025-11-13 16:58:29,821 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/data', wd=1, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name=''>
2025-11-13 16:58:31,724 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''>
2025-11-13 16:58:31,726 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''>
2025-11-13 16:58:31,728 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/.status.75k7fsi_.json', wd=1, mask=IN_OPEN, cookie=0, name='.status.75k7fsi_.json'>
2025-11-13 16:58:31,728 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/.status.75k7fsi_.json', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='.status.75k7fsi_.json'>
2025-11-13 16:58:31,729 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/.status._wpyonaz.json', wd=1, mask=IN_OPEN, cookie=0, name='.status._wpyonaz.json'>
2025-11-13 16:58:31,729 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/.status._wpyonaz.json', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='.status._wpyonaz.json'>
2025-11-13 16:58:31,729 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/.status.q_zmuc8g.json', wd=1, mask=IN_OPEN, cookie=0, name='.status.q_zmuc8g.json'>
2025-11-13 16:58:31,730 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/.status.q_zmuc8g.json', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='.status.q_zmuc8g.json'>
2025-11-13 16:58:31,730 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/status.json', wd=1, mask=IN_OPEN, cookie=0, name='status.json'>
2025-11-13 16:58:31,730 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/status.json', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='status.json'>
2025-11-13 16:58:31,730 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/actuals.json', wd=1, mask=IN_OPEN, cookie=0, name='actuals.json'>
2025-11-13 16:58:31,730 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/actuals.json', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='actuals.json'>
2025-11-13 16:58:31,731 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/.status.uj_8e8bo.json', wd=1, mask=IN_OPEN, cookie=0, name='.status.uj_8e8bo.json'>
2025-11-13 16:58:31,731 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/.status.uj_8e8bo.json', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='.status.uj_8e8bo.json'>
2025-11-13 16:58:31,731 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/.status.872vttn7', wd=1, mask=IN_OPEN, cookie=0, name='.status.872vttn7'>
2025-11-13 16:58:31,732 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/.status.872vttn7', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='.status.872vttn7'>
2025-11-13 16:58:31,732 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/.status.1sbe58up', wd=1, mask=IN_OPEN, cookie=0, name='.status.1sbe58up'>
2025-11-13 16:58:31,732 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/.status.1sbe58up', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='.status.1sbe58up'>
2025-11-13 16:58:31,732 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/predictions.json', wd=1, mask=IN_OPEN, cookie=0, name='predictions.json'>
2025-11-13 16:58:31,733 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/predictions.json', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='predictions.json'>
2025-11-13 16:58:31,733 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/captures.json', wd=1, mask=IN_OPEN, cookie=0, name='captures.json'>
2025-11-13 16:58:31,733 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/captures.json', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='captures.json'>
2025-11-13 16:58:31,733 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/.captures.json.15501.1763066405858600582.tmp', wd=1, mask=IN_OPEN, cookie=0, name='.captures.json.15501.1763066405858600582.tmp'>
2025-11-13 16:58:31,734 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/.captures.json.15501.1763066405858600582.tmp', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='.captures.json.15501.1763066405858600582.tmp'>
2025-11-13 16:58:31,735 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs', wd=1, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name=''>
2025-11-13 16:58:31,737 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/images', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name='images'>
2025-11-13 16:58:31,738 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/logs', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name='logs'>
2025-11-13 16:58:31,738 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/images', wd=1, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name='images'>
2025-11-13 16:58:31,738 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/stack', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name='stack'>
2025-11-13 16:58:31,738 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/logs', wd=1, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name='logs'>
2025-11-13 16:58:31,738 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/stack', wd=1, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name='stack'>
2025-11-13 16:58:37,103 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs', wd=1, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name=''>
2025-11-13 16:58:37,103 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/logs', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name='logs'>
2025-11-13 16:58:37,104 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/logs', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name='logs'>
2025-11-13 16:58:37,108 - DEBUG - in-event <InotifyEvent: src_path=b'/home/dump/Desktop/project/gemini/logs/logs', wd=1, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name='logs'>
